2117,1,13,106.142,-0.951913,-0.271554,-0.141844,0.327845,0.00947134,0.0594891
4408,1,-13,486.173,-0.692874,-0.0433872,-0.719752,0.232796,0.0403077,0.235144
5507,1,13,15797.7,-0.703507,-0.503985,-0.501076,0.234853,0.167913,0.166615
7907,1,-13,5582.94,-0.551104,-0.794957,-0.253629,0.187436,0.262583,0.0838407
9048,1,-13,2893.0,-0.602267,-0.28225,-0.746732,0.200721,0.0954511,0.248418
9832,1,-13,496.335,-0.647835,-0.761489,-0.0210854,0.2278,0.243337,0.00229181
9962,1,13,2277.48,-0.854339,-0.449167,-0.261446,0.281184,0.156178,0.087491
13017,1,13,13024.7,-0.951854,0.00329297,-0.306533,0.316959,-0.00181288,0.103175
13424,1,13,1804.15,-0.873808,-0.356163,-0.33107,0.290729,0.119141,0.111325
13441,1,13,2270.37,-0.897713,-0.00563281,-0.440545,0.298559,-0.000523686,0.148233
14023,1,-13,28254.2,-0.822499,-0.510091,-0.251598,0.274007,0.170103,0.0842399
16308,1,-13,5435.1,-0.750864,-0.615507,-0.239487,0.249395,0.206067,0.0803104
17728,1,-13,2731.19,-0.779596,-0.588534,-0.214144,0.259572,0.19618,0.072434
20440,1,13,428.599,-0.937245,-0.0793276,-0.339527,0.322249,0.0159268,0.0837452
21126,1,-13,691.078,-0.748858,-0.451106,-0.485506,0.249607,0.143588,0.167899
21715,1,-13,358.612,-0.927738,-0.283108,-0.243213,0.305497,0.0710563,0.112845
21968,1,-13,1375.31,-0.967011,-0.252013,0.0371393,0.323524,0.0802316,-0.00253744
22986,1,13,3633.58,-0.912588,-0.358711,-0.196238,0.304987,0.114101,0.071239
24295,1,13,2594.53,-0.999818,0.00340226,-0.018772,0.333265,-0.00209946,0.00639765
27534,1,-13,74.7846,-0.796139,-0.149873,-0.58626,0.251095,0.0531916,0.21268
28128,1,13,374.545,-0.613316,-0.508384,-0.604474,0.198361,0.185743,0.193038
35621,1,-13,12988.4,-0.67482,-0.0561994,-0.735839,0.2236,0.0188655,0.246492
36414,1,13,5863.62,-0.62344,-0.674281,-0.395812,0.207351,0.225477,0.131441
39354,1,13,643.478,-0.798074,-0.509724,-0.321339,0.270716,0.165428,0.102264
41447,1,-13,30325.3,-0.54911,-0.0771733,-0.832179,0.183182,0.0264362,0.27723
49720,1,13,3779.34,-0.921771,-0.194128,-0.335637,0.306891,0.0625422,0.114095
50359,1,-13,1859.28,-0.611566,-0.752805,-0.243459,0.199274,0.256132,0.0761415
51277,1,-13,7678.86,-0.612551,-0.0039323,-0.790422,0.203488,0.00324003,0.263995
54657,1,-13,2326.56,-0.852785,-0.311196,-0.419422,0.288434,0.0963248,0.136522
54982,1,13,1822.37,-0.959448,-0.281843,-0.00496412,0.32221,0.0853219,-0.00346956
56603,1,13,380.023,-0.762632,-0.0809857,-0.641743,0.263357,0.02455,0.202859
58184,1,13,5328.71,-0.88165,-0.0403467,-0.470176,0.291435,0.0176432,0.160827
60487,1,-13,290.359,-0.963139,-0.162144,-0.214644,0.321779,0.0776765,0.0391869
66033,1,-13,1100.43,-0.459709,-0.869884,-0.178803,0.166202,0.283209,0.0572796
67810,1,-13,22731.0,-0.620793,-0.0464763,-0.782596,0.205973,0.016209,0.261579
70607,1,-13,2932.84,-0.873229,-0.405155,-0.270778,0.293096,0.130803,0.0899799
70879,1,-13,21057.8,-0.59307,-0.757589,-0.27263,0.19825,0.252109,0.0908247
74619,1,13,2650.56,-0.768521,-0.151593,-0.621607,0.254371,0.0538516,0.208582
84794,1,13,2729.06,-0.519773,-0.846966,-0.111732,0.177204,0.279154,0.0422204
85679,1,-13,550.329,-0.771108,-0.613079,-0.171835,0.252715,0.214387,0.035839
87696,1,-13,1455.1,-0.725887,-0.380659,-0.572876,0.248322,0.129344,0.180879
87850,1,13,9227.85,-0.875518,-0.483045,-0.0116425,0.292673,0.159445,0.00553992
89662,1,13,398.724,-0.996739,0.0161644,-0.0790603,0.331617,0.000768742,0.0337783
90776,1,-13,8951.67,-0.619917,-0.288288,-0.72979,0.207009,0.0970556,0.242566
96489,1,-13,2977.97,-0.791704,-0.601479,-0.106896,0.266991,0.196509,0.0347973
96570,1,-13,945.721,-0.889004,-0.433783,-0.146645,0.295294,0.148075,0.0445668
96883,1,-13,4508.19,-0.869173,-0.262394,-0.41915,0.289874,0.0869786,0.139711
97870,1,-13,10817.0,-0.445266,-0.623536,-0.642605,0.149673,0.208347,0.21284
99082,1,-13,5624.83,-0.874506,-0.41242,-0.255242,0.290279,0.14109,0.0833231
99980,1,-13,7240.51,-0.993518,-0.10609,0.0408381,0.331402,0.0332322,-0.0134002
101717,1,-13,35276.7,-0.545824,-0.330364,-0.770023,0.183241,0.108788,0.256318
101786,1,-13,3490.7,-0.905636,-0.23966,-0.349837,0.302444,0.0784093,0.116149
101843,1,-13,13248.8,-0.833281,-0.394163,-0.387657,0.277231,0.132283,0.129442
